docId,filename,0 2 00 1,1 murray haldane hood,2 hie end ae,3 1888 nervous toronto,4 shawville pills 1892,5 1885 war indians,6 1 4 good,7 000 2 3,8 tho 0 stair,9 mr tho government,10 1887 du portage,11 ami hut lie,12 1884 sidney pembroke,13 christmas sugar milk,14 ef te 1886,15 fort portage du,16 1889 isabel martha,17 1 mr day,18 dolores inez varian,19 1 ii lie
481,83471_1892-09-22.txt,3.233276144216572E-5,4.1577202493154155E-4,5.300929258910503E-4,8.213098922545423E-6,0.09984775904518671,0.007021683174418775,0.1909177129822248,0.35354624374707044,1.053962784256584E-5,0.14798896410023937,0.006762208033469967,2.013181098165349E-5,9.764020536931842E-6,0.009469196837577427,8.10130939940456E-6,6.7883618347207E-4,0.0026512103208637446,0.17779645653394197,6.313387128337401E-6,0.002278468074458536
482,83471_1892-09-29.txt,2.323869601497716E-4,9.116102339715374E-4,0.0011246989100399715,0.0011106873820908546,0.08543598914204507,0.008134409025766178,0.16200632354338496,0.36304307113856144,1.0404404229410872E-5,0.1537080861393144,0.0037686478689269356,0.002325267348542375,0.004419957377475079,0.016664826417694255,7.997369455353643E-6,0.008287949790444444,1.1133238750460638E-4,0.18754346654308315,6.232386258905182E-6,0.0011466556310613407
483,83471_1892-10-06.txt,0.011418888008642923,1.037411427189104E-5,0.003526934507634551,8.854100863113933E-6,0.08793737474010781,0.005818310023240189,0.17111872850584572,0.3382301752285705,1.208240509276921E-4,0.12757609593340094,9.411863532616996E-4,2.1703024238439505E-5,0.004607923521822632,0.02794105132399192,7.749664958584572E-4,0.00697114195083246,1.211951467161549E-5,0.18970249801784303,1.1626796778435404E-4,0.02314458261619009
484,83471_1892-10-13.txt,0.3615451942597972,0.002393069887729486,0.005572117611016801,0.0020424377063060126,0.009114940323942456,0.0038828207519687867,0.13314107804304492,0.14990495473564044,0.002621000126638875,0.08798783076640453,0.015107407849927314,0.005006389212272043,0.0024281216989890187,0.006523790397355621,0.002014637829622912,0.04256166817010205,0.002795693671229628,0.12743320579781842,0.0015700163905278993,0.03635362476966557
485,83471_1892-10-20.txt,0.024078735493620017,8.800119201555785E-6,0.006798827406815627,7.510727275206453E-6,0.09799441447254391,1.4278431913252298E-5,0.22603179945105353,0.28830557870669454,0.00140244723981664,0.11991942210758674,0.0055339368463781825,0.0014112191141372763,8.929016447263467E-6,0.0069880348855892475,1.002624274751738E-4,0.0060991650018148436,1.0280701656063337E-5,0.20103310261676965,1.914813352340128E-4,0.01406177389797727
486,83471_1892-10-27.txt,0.2744013100989028,0.0025203492025782166,0.005868479750469259,0.002151068078203128,0.009599733252584917,0.004089334889949066,0.14022240286286386,0.18447120697076871,0.002760402282024126,0.09266760667783833,0.015910919912044092,0.005272662166551969,0.0025572653014392923,0.006870768802060705,0.002121789619855845,0.018232066364742176,0.0029443871869625302,0.16080426151030258,0.0016535202662451543,0.06488046480361322
487,83471_1892-11-03.txt,0.17696156500413723,9.57639604354375E-6,0.0012348352734573977,1.0921803233763251E-4,0.05581318746905835,1.5537962128729396E-5,0.17928098822618943,0.2518982161140265,1.1153327724603572E-4,0.07047717178558646,6.0455618744804426E-5,8.283923140418267E-4,9.716663583738038E-6,0.01942670187180516,1.0910678501032123E-4,6.927511791712744E-5,1.1187583759839658E-5,0.22654709842110368,6.282766260878124E-6,0.017019953317561305
488,83471_1892-11-10.txt,0.01838467414921669,6.960675260463976E-6,1.620750877451375E-5,3.731665348188521E-4,0.10446551190240418,1.1293884264570385E-5,0.21514087552563663,0.33784303226805845,7.623651458201988E-6,0.12496578857945345,0.002026961596725923,0.004861941707259374,7.062629773668841E-6,1.8975620668734473E-5,5.859937384760673E-6,0.0063666358062871835,8.131779131459925E-6,0.18523209820054315,4.5666757599123854E-6,2.5263136711983623E-4
489,83471_1892-11-17.txt,0.017467487301617315,1.0198841975852429E-5,0.0010998720736123213,8.704509433237333E-6,0.12486931038869555,1.654789752398848E-5,0.2100889010797404,0.3149748906399521,0.0020558071527807227,0.12068572904199028,0.0021090220212092864,2.1336348222583405E-5,0.0019473726698566096,0.011327112496800495,8.586031259786188E-6,0.0016879648933073748,1.1952722262959522E-4,0.17917979651171814,7.599784165532504E-4,0.011561854461121096
490,83471_1892-11-24.txt,0.02192156344614844,9.693938657658997E-6,2.25717462709406E-5,8.2735844609225E-6,0.11295957640274326,1.180136902124657E-4,0.2230092340648568,0.2711510974582269,1.061724715171621E-5,0.12555327915255207,0.006709723443615785,7.362751561697899E-4,1.1212093987648613E-4,4.3556686667116867E-4,8.160971661506038E-6,0.0022181106668076435,1.1324902416543649E-5,0.20641594045347503,0.0033817652784170035,0.02520709058960784
491,83471_1892-12-01.txt,0.020718047286783295,8.415657195665548E-6,6.41176458768585E-4,7.182596575180266E-6,0.10179376225783353,1.9124923563043088E-4,0.26259784947681525,0.26532072169608956,0.006669014854861036,0.09798645696232622,1.4192519681118797E-4,1.7605860829469523E-5,8.538923143375614E-6,0.03953774140535245,7.084833349189102E-6,0.0018368244348783897,0.0023185614042034192,0.1936710704739457,6.271023558321493E-4,0.005899668628775914
492,83471_1892-12-08.txt,0.04246666723150317,8.15847717566179E-6,1.8996517645673744E-5,6.96309852672896E-6,0.11779355216170974,1.323735033588128E-5,0.21523269325716854,0.2920764894613469,8.935539166755464E-6,0.13889469751047595,0.0036670189796065415,1.7067830877080494E-5,8.27797615209905E-6,0.004412508768271821,0.0024172114279703573,0.0029858631704521893,9.531106100921083E-6,0.16674812077545012,5.35251517442716E-6,0.013208656844889477
493,83471_1892-12-15.txt,0.01885809632137172,8.620812506318437E-6,0.007297031902907769,7.357692565596135E-6,0.09217732736323031,3.778354452194282E-4,0.21906128032037,0.2945291568772157,9.441910069842802E-6,0.12802759609746528,0.004147712398673679,1.803505319838418E-5,9.970906922788475E-5,0.02667536319553265,7.257546086041722E-6,9.719823377983301E-4,1.0071227375494054E-5,0.1938442481674855,5.655838554480959E-6,0.013866220423145592
494,83471_1892-12-22.txt,3.093198756189004E-5,9.206162683081852E-6,2.1435989596173805E-5,7.857277336832718E-6,0.07638574790528649,1.4937248466983173E-5,0.22363880826785362,0.26382140584449626,2.0435955865135102E-4,0.11826435354645669,2.5239488825760334E-4,1.925962705031222E-5,9.341007335319781E-6,0.10231169863985845,7.750330946078932E-6,3.5801168956674185E-4,1.0755060218413355E-5,0.20788044978950385,6.0398680291023245E-6,0.006745255310844742
495,83471_1892-12-29.txt,0.1847361004058648,1.758746989585051E-4,0.00665127299612754,6.791222183302617E-6,0.046291607797910916,1.2910601064181178E-5,0.2118509660400229,0.28050104841641726,8.71497531969379E-6,0.08425136692885915,6.379446116304485E-4,1.664653045312255E-5,8.073643516774179E-6,2.169197617579631E-5,6.698786003417941E-6,2.254787831856285E-4,9.295841346423291E-6,0.18076723016538276,5.2203942899124425E-6,0.0038150651852874497
496,83471_1893-01-05.txt,0.08102184486733764,9.42966206882672E-6,2.1956394315545373E-5,8.048029631666304E-6,0.0815235610534639,1.5299882277835148E-5,0.20966630088017948,0.28176783305612235,1.0327799285463427E-5,0.11655863529370922,0.003740900286999974,3.18216736208089E-4,1.0906429380375534E-4,0.01624363806008114,7.938486887419326E-6,9.636822734316498E-4,0.0010059812968102298,0.19780372445853162,6.186498806870912E-6,0.009197430690047362
497,83471_1893-01-12.txt,0.019609077394503353,9.370922499493139E-6,1.2069634920087558E-4,2.0575134936999068E-4,0.08714608877114624,1.5204575734578888E-5,0.22685018831620404,0.24688893201372997,1.0263465009456091E-5,0.16527092750641703,0.0019378162694617834,0.001206125027353969,9.508180424330256E-6,0.03710431863784262,7.889036196872436E-6,0.002440830167248848,1.0982426656806612E-4,0.20013112097000346,0.0010937919520389052,0.00983227482904613
498,83471_1893-01-19.txt,0.019839216567994502,8.495622360053944E-6,6.472688862208114E-4,7.250845257667671E-6,0.10060961643600114,1.37843775351689E-5,0.22439600496533543,0.2682003504565985,0.0030571004792095675,0.141586659063275,0.004087479941295393,0.010057570695327379,8.62005957478962E-6,0.0016366989583410062,2.7607530160276856E-4,0.00543991983127537,9.924974522033085E-6,0.1873539880387498,5.573705315257291E-6,0.032758400794208366
